#NAME,case1_after,case1_before,case2_after,case2_before,case3_after,case3_before,case4_after,case4_before,case5_after,case5_before,case6_after,case6_before,case7_after,case7_before,case8_after,case8_before,case9_after,case11_after,case11_before,case12_after,case12_before,case13_after,case13_before,case14_after,case14_before,case15_after,case15_before,donor_1,donor_2,donor_3,donor_4,donor_5,donor_6
Otu_451,1,0,6,13,61,16,39,7,19,36,7,52,38,5,20,8,58,17,8,64,21,48,25,33,20,52,29,71,4,3,27,66,60
Otu_452,5,0,19,17,79,33,120,67,29,15,22,44,45,14,25,9,104,7,5,20,9,46,30,116,31,61,15,74,4,1,49,87,71
Otu_453,1,0,10,19,55,12,66,22,17,36,26,17,60,0,20,4,107,9,6,68,7,61,59,77,30,45,16,72,1,11,17,48,88
Otu_454,2,1,13,2,12,6,10,4,2,2,0,6,16,0,7,0,10,6,0,4,2,6,16,10,17,5,2,11,0,2,3,20,17
Otu_455,0,0,11,3,11,10,22,15,18,19,5,1,14,3,17,2,10,2,0,6,4,22,14,72,15,71,7,95,0,1,22,53,29
Otu_456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu_457,0,0,26,10,49,31,22,18,10,8,22,56,38,6,11,10,63,12,4,59,19,54,35,59,25,51,45,47,1,2,22,46,34
Otu_458,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,5,0,0,1,0,2,0,3,0,0,0,0,1
Otu_459,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_460,0,0,0,0,4,1,6,3,6,4,1,0,1,0,0,0,0,1,0,8,0,4,0,3,0,4,0,2,1,1,3,0,9
Otu_461,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0
Otu_462,3,0,9,13,18,10,18,11,18,8,5,5,21,0,2,0,7,16,10,32,1,14,9,42,12,47,1,19,1,1,16,38,8
Otu_463,0,2,11,20,12,7,16,7,3,6,3,15,4,2,7,3,5,4,9,8,1,3,4,16,28,6,4,13,3,2,6,9,4
Otu_464,18,0,64,23,113,22,106,54,51,75,26,52,50,21,87,23,93,25,16,137,11,45,38,127,52,70,23,59,3,12,46,121,77
Otu_465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Otu_466,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_467,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0
Otu_468,0,0,5,4,38,4,8,10,7,2,1,19,17,0,0,7,0,13,0,32,2,5,11,13,14,14,0,14,1,7,8,25,26
Otu_469,0,0,1,20,19,8,11,3,3,8,13,5,6,71,14,1,25,7,4,32,1,10,9,18,16,8,1,0,0,2,1,6,25
Otu_470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Otu_471,4,0,8,2,46,19,29,8,17,15,19,8,25,3,2,2,16,16,7,55,10,16,30,58,2,61,4,26,2,3,29,37,36
