#NAME,case1_after,case1_before,case2_after,case2_before,case3_after,case3_before,case4_after,case4_before,case5_after,case5_before,case6_after,case6_before,case7_after,case7_before,case8_after,case8_before,case9_after,case11_after,case11_before,case12_after,case12_before,case13_after,case13_before,case14_after,case14_before,case15_after,case15_before,donor_1,donor_2,donor_3,donor_4,donor_5,donor_6
K00186,565,8,453,242,540,276,902,443,175,230,61,361,190,405,441,240,1579,458,345,130,321,206,710,713,714,811,154,422,64,82,365,553,356
K01361,1,4,9,49,32,23,37,8,46,40,14,60,19,3,27,3,85,4,5,13,8,50,15,20,65,9,6,38,9,15,10,14,6
K10110,93,44,252,116,53,21,44,11,322,329,125,91,100,81,18,156,2574,4,8,18,68,227,53,38,151,53,131,130,7,32,18,39,39
K10111,277,18,554,274,540,140,208,71,608,682,349,530,585,449,286,335,4723,130,73,457,205,668,387,522,360,352,401,255,44,54,174,395,461
K10112,142,12,553,606,965,350,522,194,1353,1423,387,1836,939,950,724,205,4039,272,223,932,416,975,563,1290,850,617,453,756,58,119,320,715,924
K19265,1227,139,1233,609,1571,445,848,552,1244,1347,450,1843,1486,1269,1448,607,11553,467,525,1493,846,1418,1579,3122,1746,2135,410,1299,145,267,930,1764,1929
K19266,2,2,56,16,10,4,42,7,8,26,3,12,10,13,16,5,23,99,25,53,1,6,4,11,35,20,2,3,1,2,1,9,18
K10118,12,6,318,325,344,112,132,92,456,472,113,479,483,125,173,89,1565,100,54,423,135,507,367,443,325,259,160,254,19,39,146,294,508
K18326,256,49,550,156,36,36,46,20,901,937,270,45,135,77,267,445,4497,24,16,18,137,532,104,2,203,35,139,16,18,40,5,2,19
K18324,282,7,160,31,58,21,40,23,124,134,109,19,33,81,104,169,1520,49,67,28,61,139,202,39,120,58,53,14,8,7,13,24,43
K05844,100,12,197,62,12,1,46,25,256,260,113,1,38,25,7,156,1700,4,6,2,40,141,28,38,62,12,76,38,4,11,7,13,27
K05845,196,46,358,373,116,13,43,29,446,559,171,1218,125,1262,155,262,1920,58,46,173,99,260,76,250,294,25,152,12,9,42,7,23,8
K05846,295,64,626,605,242,47,94,43,863,1099,294,1946,222,1846,201,485,3092,82,76,316,209,507,176,733,545,53,277,30,29,61,21,23,31
K05847,148,33,348,428,120,53,78,45,527,699,118,1462,199,1403,258,221,1013,92,55,178,121,304,150,524,273,39,160,30,20,58,25,34,40
K15548,200,23,371,120,40,10,59,23,376,438,210,7,53,52,40,252,3009,10,22,5,84,367,130,36,126,76,103,33,8,9,9,26,33
K04087,126,6,277,78,31,13,57,24,293,376,162,2,49,33,22,210,2538,11,10,23,84,386,83,73,105,30,94,14,9,7,5,7,46
K04086,24,95,312,67,254,75,98,123,1371,1829,62,151,279,95,774,327,893,7,165,539,69,828,47,203,479,56,86,87,7,39,17,46,28
