#TAXONOMY,Phylum,Class,Order,Family,Genus,Species
Otu_451,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,archaeon GW2011_AR10
Otu_452,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,archaeon GW2011_AR15
Otu_453,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,Archaea incertae sedis,archaeon GW2011_AR20
Otu_454,Candidatus Korarchaeota,Candidatus Korarchaeota incertae sedis,Candidatus Korarchaeota incertae sedis,Candidatus Korarchaeota incertae sedis,Candidatus Korarchaeum,Candidatus Korarchaeum cryptofilum
Otu_455,Candidatus Micrarchaeota,Candidatus Micrarchaeota incertae sedis,Candidatus Micrarchaeota incertae sedis,Candidatus Micrarchaeota incertae sedis,Candidatus Micrarchaeota incertae sedis,Candidatus Micrarchaeota archaeon Mia14
Otu_456,Candidatus Micrarchaeota,Candidatus Micrarchaeota incertae sedis,Candidatus Micrarchaeota incertae sedis,Candidatus Micrarchaeota incertae sedis,Candidatus Micrarchaeum,Candidatus Micrarchaeum acidiphilum
Otu_457,Candidatus Nanohaloarchaeota,Nanohaloarchaea,Nanohaloarchaea incertae sedis,Nanohaloarchaea incertae sedis,Nanohaloarchaea incertae sedis,Nanohaloarchaea archaeon SG9
Otu_458,Candidatus Parvarchaeota,Candidatus Parvarchaeota incertae sedis,Candidatus Parvarchaeota incertae sedis,Candidatus Parvarchaeota incertae sedis,Candidatus Parvarchaeum,Candidatus Parvarchaeum acidiphilum
Otu_459,Crenarchaeota,Other,Other,Other,Other,Other
Otu_460,Crenarchaeota,Thermoprotei,Other,Other,Other,Other
Otu_461,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Other
Otu_462,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus saccharovorans
Otu_463,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus sp. 7A
Otu_464,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,Caldisphaera lagunensis
Otu_465,Crenarchaeota,Thermoprotei,Desulfurococcales,Other,Other,Other
Otu_466,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Other,Other
Otu_467,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Other
Otu_468,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum camini
Otu_469,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix
Otu_470,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Other
Otu_471,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus
Otu_472,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus mucosus
Otu_473,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Other
Otu_474,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis
Otu_475,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus islandicus
Otu_476,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,Ignisphaera aggregans
Otu_477,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Other
Otu_478,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus
Otu_479,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus marinus
Otu_480,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,Thermogladius calderae
Otu_481,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,Thermosphaera aggregans
Otu_482,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcales incertae sedis,Caldococcus,Caldococcus noboribetus
